onset	duration	trial_type	condition	repetition	pairmate	pairID	category	subcategory	response_accuracy	response_time
13.511402808013372	1	prelearning	violation	1	B	19	scene	indoor	1	0.5524493589764461
16.511365065933205	1	prelearning	violation	1	B	20	scene	indoor	1	0.5234341140603647
19.51133519597352	1	prelearning	nonviolation	1	A	71	scene	indoor	1	0.5125204250216484
22.511289170011878	1	prelearning	violation	1	B	24	scene	outdoor	1	0.5075670549413189
25.51125962298829	1	prelearning	nonviolation	1	B	71	scene	indoor	1	0.4885968909366056
28.511215446982533	1	prelearning	nonviolation	1	A	65	scene	outdoor	1	0.4286404369631782
31.511168661992997	1	prelearning	nonviolation	1	B	67	scene	indoor	1	0.5446881760144606
34.511129105929285	1	prelearning	nonviolation	1	A	68	scene	outdoor	1	0.4627316000405699
37.51108956395183	1	prelearning	nonviolation	1	B	70	scene	indoor	1	0.5827681680675596
40.51104946096893	1	prelearning	violation	1	B	18	scene	outdoor	1	0.6088053969433531
43.511009939014905	1	prelearning	violation	1	A	21	scene	indoor	0	0.5018452469957992
46.510970429983	1	prelearning	violation	1	B	22	scene	indoor	1	0.3948893659980968
49.51093884999864	1	prelearning	nonviolation	1	B	65	scene	outdoor	1	0.44892157393042
52.510891131008975	1	prelearning	nonviolation	1	A	66	scene	indoor	1	0.4649698819266632
55.51085252396297	1	prelearning	nonviolation	1	A	72	scene	outdoor	1	0.4350046019535512
58.510820996947594	1	prelearning	violation	1	B	23	scene	indoor	1	0.6440030629746616
61.510773157002404	1	prelearning	violation	1	A	17	scene	indoor	1	0.5040909029776229
64.51073350198567	1	prelearning	nonviolation	1	A	70	scene	outdoor	1	0.5211246659746394
67.5106874719495	1	prelearning	violation	1	A	24	scene	outdoor	1	0.5631025449838489
70.51067663298454	1	prelearning	nonviolation	1	A	69	scene	indoor	1	0.6671849359991029
73.51061509700958	1	prelearning	nonviolation	1	B	66	scene	outdoor	1	0.605247713974677
76.51057592697906	1	prelearning	violation	1	A	18	scene	outdoor	1	0.5592857929877937
79.51054468296934	1	prelearning	nonviolation	1	B	69	scene	outdoor	0	0.4793127790326253
82.51049840194173	1	prelearning	violation	1	A	19	scene	indoor	1	0.7673626519972458
85.51045785995666	1	prelearning	violation	1	A	20	scene	indoor	1	0.5994031190639362
88.51041854592042	1	prelearning	violation	1	B	21	scene	outdoor	1	0.6864759580930695
91.51037875399923	1	prelearning	nonviolation	1	B	68	scene	indoor	0	1.1154815190238878
94.51034393091686	1	prelearning	nonviolation	1	A	67	scene	indoor	1	0.5975193360354751
97.49362533795649	1	prelearning	nonviolation	1	B	72	scene	outdoor	1	0.5082346210256219
100.51026031398214	1	prelearning	violation	1	B	17	scene	outdoor	1	0.5296039410168305
103.49353841401172	1	prelearning	violation	1	A	23	scene	outdoor	1	0.8353295469423756
106.49351458693857	1	prelearning	violation	1	A	22	scene	outdoor	1	0.8223546970402822
109.49347118497826	1	learning	nonviolation	2	A	65	scene	outdoor	1	0.4753894630121067
112.49343006196432	1	learning	nonviolation	2	B	65	scene	outdoor	1	0.4994061980396509
115.49340080097319	1	learning	violation	2	A	17	scene	indoor	0	0.9284679669653996
118.49334899091629	1	learning	violation	2	B	17	scene	outdoor	1	0.4455176510382444
121.49330350302624	1	learning	violation	2	A	18	scene	outdoor	1	0.655594025971368
124.49327047902624	1	learning	violation	2	B	18	scene	outdoor	1	0.663594490964897
127.49323041795289	1	learning	nonviolation	2	A	66	scene	indoor	1	0.4456384520744905
130.49319205398206	1	learning	nonviolation	2	B	66	scene	outdoor	1	0.4966823180438951
133.49314987391702	1	learning	violation	2	A	19	scene	indoor	1	0.6317161440383643
136.4931123870192	1	learning	violation	2	B	19	scene	indoor	0	0.8347547479206696
139.49306960694958	1	learning	nonviolation	2	A	67	scene	indoor	1	0.6517998740309849
142.49303001293447	1	learning	nonviolation	2	B	67	scene	indoor	1	0.694833827088587
145.49299201194663	1	learning	violation	3	A	17	scene	indoor	1	0.5508786119753495
148.49295566801447	1	learning	violation	3	B	17	scene	outdoor	1	0.6029189639957622
151.49291082296986	1	learning	violation	2	A	20	scene	indoor	1	0.4909581339452416
154.49287400301546	1	learning	violation	2	B	20	scene	indoor	1	0.5739987439010292
157.49283543601632	1	learning	nonviolation	2	A	68	scene	outdoor	1	0.5670392969623208
160.49279349902642	1	learning	nonviolation	2	B	68	scene	indoor	1	0.7730788929620758
163.4927522999933	1	learning	violation	2	A	21	scene	indoor	0	0.7431191799696535
166.49271809891795	1	learning	violation	2	B	21	scene	outdoor	1	1.0201495410874486
169.4926979360171	1	learning	nonviolation	2	A	69	scene	indoor	1	0.5291715249186382
172.49263900797814	1	learning	nonviolation	2	B	69	scene	outdoor	1	0.43823399604298174
175.49259714293294	1	learning	nonviolation	3	A	68	scene	outdoor	1	0.4512703759828582
178.4925639500143	1	learning	nonviolation	3	B	68	scene	indoor	1	0.5833123769843951
181.4925279219169	1	learning	violation	3	A	21	scene	indoor	0	0.50634887709748
184.49247733491936	1	learning	violation	3	B	21	scene	outdoor	1	0.5673948290059343
187.4924424670171	1	learning	nonviolation	3	A	65	scene	outdoor	1	0.6024300669087097
190.49239578994457	1	learning	nonviolation	3	B	65	scene	outdoor	1	0.5714812739752233
193.49235335399865	1	learning	nonviolation	3	A	66	scene	indoor	1	0.5535220169695094
196.4923249399289	1	learning	nonviolation	3	B	66	scene	outdoor	1	0.9875479500042276
199.49227399192748	1	learning	nonviolation	4	A	68	scene	outdoor	1	0.8595996930962428
202.49223968596198	1	learning	nonviolation	4	B	68	scene	indoor	1	0.5056381799513474
205.49219325394367	1	learning	violation	2	A	22	scene	outdoor	1	0.6436855760402977
208.49216065695512	1	learning	violation	2	B	22	scene	indoor	1	0.6967290639877319
211.49212384992282	1	learning	violation	3	A	18	scene	outdoor	1	0.7957553560845554
214.49207947799005	1	learning	violation	3	B	18	scene	outdoor	1	0.5238036150112748
217.4920316429343	1	learning	violation	3	A	19	scene	indoor	0	0.5148497270420194
220.4919885849813	1	learning	violation	3	B	19	scene	indoor	1	0.4758877230342478
223.4919506700244	1	learning	nonviolation	3	A	67	scene	indoor	1	0.5379330109572038
226.49191702797543	1	learning	nonviolation	3	B	67	scene	indoor	1	0.5219661659793928
229.49187119293487	1	restudy	nonviolation	5	B	68	scene	indoor	1	0.496006048982963
232.49183213699143	1	learning	violation	4	A	17	scene	indoor	1	0.45005133596714586
235.49179417197598	1	learning	violation	4	B	17	scene	outdoor	1	0.500089147943072
238.4917535299901	1	learning	nonviolation	3	A	69	scene	indoor	1	0.5831273479852825
241.49170955701263	1	learning	nonviolation	3	B	69	scene	outdoor	1	0.5571729289367795
244.49167068395764	1	learning	violation	3	A	20	scene	indoor	1	0.6170924550388008
247.49163765402042	1	learning	violation	3	B	20	scene	indoor	0	1.0192413789918646
250.4915980019141	1	learning	nonviolation	4	A	66	scene	indoor	1	0.4283119341125712
253.49154703691602	1	learning	nonviolation	4	B	66	scene	outdoor	1	0.6183377120178193
256.49152016593143	1	learning	nonviolation	4	A	67	scene	indoor	1	0.5133702710736543
259.4914672339801	1	learning	nonviolation	4	B	67	scene	indoor	1	0.5864157780306414
262.49143139400985	1	learning	violation	4	A	18	scene	outdoor	1	0.6034528599120677
265.4913876740029	1	learning	violation	4	B	18	scene	outdoor	1	0.4934956609504298
268.49135128199123	1	learning	nonviolation	4	A	65	scene	outdoor	1	0.5435351969208568
271.4913131269859	1	learning	nonviolation	4	B	65	scene	outdoor	1	0.8435722560388967
274.49127815593965	1	learning	violation	4	A	21	scene	indoor	0	0.5386095480062068
277.4912400810281	1	learning	violation	4	B	21	scene	outdoor	1	0.5786518988898024
280.49119409301784	1	restudy	nonviolation	5	B	67	scene	indoor	0	0.4716938399942592
283.49114945100155	1	restudy	nonviolation	5	B	65	scene	outdoor	1	0.45473769691307103
286.4911089889938	1	restudy	nonviolation	5	B	66	scene	outdoor	1	0.5357827449915931
289.4910594469402	1	learning	violation	4	A	19	scene	indoor	1	0.5238252760609612
292.491023661918	1	learning	violation	4	B	19	scene	indoor	1	0.6528011240297928
295.4909874940058	1	learning	violation	3	A	22	scene	outdoor	1	0.5188983309781179
298.49094080901705	1	learning	violation	3	B	22	scene	indoor	1	0.6439458118984476
301.490902828984	1	restudy	nonviolation	6	B	66	scene	outdoor	1	0.5049852719530463
304.4908668609569	1	violation	violation	5	A	19	scene	indoor	1	0.6120204640319571
307.49082063999964	1	violation	violation	1	X	19	face	female	1	0.9030677740229294
310.49078563996585	1	violation	violation	5	A	17	scene	indoor	1	0.7619835899677128
313.49074301298236	1	violation	violation	1	X	17	face	male	1	0.564150306978263
316.4907166509656	1	learning	nonviolation	4	A	69	scene	indoor	1	0.5311753259738907
319.490665617981	1	learning	nonviolation	4	B	69	scene	outdoor	1	0.4902212290326133
322.4906193700153	1	violation	violation	5	A	18	scene	outdoor	1	0.5122744819382206
325.4905982989585	1	violation	violation	1	X	18	face	male	1	0.6602974580600858
328.4905374419177	1	learning	violation	4	A	20	scene	indoor	1	0.5683530640089884
331.49049662193283	1	learning	violation	4	B	20	scene	indoor	1	0.7303983750753105
334.49046493996866	1	learning	nonviolation	2	A	70	scene	outdoor	1	0.498425149009563
337.49042229994666	1	learning	nonviolation	2	B	70	scene	indoor	0	0.6454679149901494
340.4903805149952	1	restudy	nonviolation	6	B	68	scene	indoor	1	0.6195178949274123
343.49034951697104	1	restudy	violation	5	B	17	scene	outdoor	1	0.4995490170549601
346.4902980729239	1	restudy	nonviolation	5	B	69	scene	outdoor	1	0.5425939070992172
349.4902559169568	1	learning	nonviolation	2	A	71	scene	indoor	1	0.7526401949580759
352.4902175789466	1	learning	nonviolation	2	B	71	scene	indoor	1	0.7996784560382366
355.4901949769118	1	restudy	nonviolation	6	B	65	scene	outdoor	1	0.4996984290191904
358.4901457559318	1	violation	violation	5	A	21	scene	indoor	0	0.5287570480722934
361.49009702599136	1	violation	violation	1	X	21	face	male	1	0.7727972599677742
364.49005852197297	1	violation	violation	6	A	17	scene	indoor	1	0.6788354699965566
367.49002287199255	1	violation	violation	1	Y	17	face	male	1	0.5168727829586715
