onset	duration	trial_type	condition	response_accuracy	response_time
13.505333239911124	2.5	A	nonviolation	1	0.8661404110025615
16.50177317392081	2.5	B	violation	1	1.5826185460900888
19.501733943005085	2.5	A	violation	1	0.7087385529885069
22.501699491986074	2.5	A	violation	1	0.6067732860101387
25.50166142091621	2.5	B	nonviolation	1	1.091816610074602
28.501621023984622	2.5	B	violation	0	1.4048532879678532
31.501573033980087	2.5	B	nonviolation	1	1.625903003034182
34.50152927194722	2.5	A	violation	1	1.0159556689905005
37.50150051200762	2.5	A	violation	1	0.6769771679537371
40.50145554693881	2.5	A	violation	1	0.8130206980276853
43.50141721498221	2.5	B	violation	1	1.216063890955411
46.50137619196903	2.5	A	nonviolation	1	0.9201060299528764
49.50133838201873	2.5	A	violation	1	0.7611410499084741
52.50129974295851	2.5	B	violation	1	1.1321834940463305
55.50127817795146	2.5	B	nonviolation	1	1.7402099020546302
58.50122595496941	2.5	B	violation	1	1.2772542090388015
61.50118450098671	2.5	A	nonviolation	1	0.921298251952976
64.50115005893167	2.5	B	nonviolation	0	1.4433300860691816
67.50110193097498	2.5	A	violation	1	0.976381832966581
70.5010577699868	2.5	A	violation	1	1.4434255650267005
73.50101969693787	2.5	B	violation	1	1.2004664560081435
76.50098205998074	2.5	A	nonviolation	1	0.7255057329311967
79.50095088698436	2.5	B	nonviolation	0	1.5725415640044955
82.50091161299497	2.5	A	violation	1	0.9315722999162972
85.50085803400725	2.5	B	nonviolation	1	1.260625364957377
88.5008333720034	2.5	B	violation	0	1.6736477279337123
91.50078513799237	2.5	A	nonviolation	1	0.7916999439476058
94.50074628298172	2.5	B	violation	1	0.8307392949936911
97.50070175400471	2.5	B	nonviolation	1	1.8477970180101693
100.5006721370155	2.5	B	violation	1	1.390814848942682
103.50062293291558	2.5	B	violation	0	1.1098680250579491
106.50059498799965	2.5	A	nonviolation	1	1.051896455930546
109.5005434489576	2.5	A	nonviolation	1	1.2839475070359183
112.50050697999541	2.5	A	violation	1	1.0649903540033847
115.50049149594271	2.5	B	nonviolation	0	0.965011658030562
118.50045693095308	2.5	B	violation	1	1.270032725064084
121.5004242109135	2.5	B	nonviolation	0	1.7670701300958171
124.50035449198911	2.5	A	violation	1	1.1731376389507204
127.50031565199606	2.5	A	nonviolation	1	0.9711714719887824
130.5002762780059	2.5	B	nonviolation	0	1.2592127389507368
133.50023637793493	2.5	A	nonviolation	1	0.8222622310277075
136.50019442499615	2.5	B	nonviolation	0	1.1952977660112083
139.50015096296556	2.5	B	nonviolation	1	0.8902885400457308
142.50010512094013	2.5	A	nonviolation	1	0.6373863540356979
145.50007610791363	2.5	B	violation	1	1.1224200460128486
148.50003123795614	2.5	A	violation	1	1.2614655890502036
151.49999101401772	2.5	A	nonviolation	1	0.708503495901823
154.49995145492719	2.5	A	nonviolation	1	0.8485495400382206
157.49991099594627	2.5	B	nonviolation	0	1.1755844170693308
160.4998807220254	2.5	B	nonviolation	0	1.1076164359692484
163.49983836594038	2.5	B	violation	1	0.6886547100730239
166.49979223497215	2.5	B	nonviolation	1	0.8447054730495438
169.4997606209945	2.5	B	nonviolation	0	1.3357315269531682
172.4997203219682	2.5	A	nonviolation	1	1.2947833830257878
175.49967093497983	2.5	A	nonviolation	1	0.7747383209643885
178.4996374140028	2.5	A	nonviolation	1	0.6478545930003747
181.4995873129228	2.5	A	violation	1	0.9909107940038666
184.49954908702057	2.5	B	violation	0	1.097954006982036
187.4995160209946	2.5	B	nonviolation	0	1.2399800959974527
190.4994822340086	2.5	A	violation	1	0.8700134319951758
193.49942703300619	2.5	B	violation	0	0.939075520960614
196.4993888019817	2.5	B	violation	1	0.8931104979710653
199.49934550595933	2.5	A	nonviolation	1	0.8301508349832147
202.49931503692642	2.5	A	violation	1	0.6851835530251265
205.49929967802018	2.5	B	violation	0	1.1172056569484994
208.49923642899373	2.5	A	nonviolation	1	0.8672622540034354
211.4991955489386	2.5	A	nonviolation	1	0.8593096080003306
214.4991538869217	2.5	A	violation	1	0.6443532250123098
217.49911837792027	2.5	B	violation	1	0.8783816910581663
220.49907571601216	2.5	A	violation	1	0.8934268959565088
223.49903798592283	2.5	A	violation	1	0.8944617970846593
226.49899623100646	2.5	B	violation	0	1.2185116009786725
229.49895715794992	2.5	A	nonviolation	1	0.6915455450071022
232.49891064397525	2.5	B	violation	0	1.0445923040388152
235.4988767959876	2.5	A	nonviolation	1	0.9486270189518108
238.4988397610141	2.5	B	nonviolation	0	1.1836822609184308
241.49879394599705	2.5	B	nonviolation	0	1.207708248985
244.4987551739905	2.5	A	nonviolation	1	0.8547491970239207
247.49871479696597	2.5	B	violation	0	1.0557867429452017
250.4986842549406	2.5	A	nonviolation	1	1.1298282940406352
253.4986379019683	2.5	B	nonviolation	0	1.1488659989554435
256.4985933499411	2.5	A	nonviolation	1	0.9139168000547216
259.4985573219601	2.5	A	violation	1	0.8569544119527563
262.4985183189856	2.5	B	violation	0	1.3199963859515265
265.4984607689548	2.5	A	violation	1	1.1159769810037687
268.498427190003	2.5	A	violation	1	1.0220750420121476
271.4983950739261	2.5	B	violation	1	1.1681111290818078
274.4983469659928	2.5	A	nonviolation	1	1.0221639609662816
277.4983155269874	2.5	B	nonviolation	0	1.1121962739853188
280.4982741629937	2.5	B	nonviolation	0	1.2012409219751137
283.49822590197437	2.5	A	violation	1	1.0132846540072933
286.4981931999792	2.5	B	nonviolation	0	1.3072502949507907
289.49814387096563	2.5	A	violation	1	0.8723697869572788
292.49811429693364	2.5	A	violation	1	0.9043947859900072
295.49807262001565	2.5	B	violation	1	1.2144441049313173
298.4980350129772	2.5	B	nonviolation	1	1.5404819099931046
301.4979946969542	2.5	B	violation	1	1.1175136900274083
304.4979463599157	2.5	A	violation	1	1.2525718950200826
307.4979111090069	2.5	B	nonviolation	1	0.8586034959880635
310.49787125899456	2.5	B	nonviolation	0	1.2366471809800714
313.49782590998797	2.5	B	nonviolation	0	1.2976883560186252
316.4977860129438	2.5	A	nonviolation	1	0.676725241006352
319.49775144795416	2.5	A	violation	1	0.7317651490448043
322.49771157291246	2.5	A	nonviolation	1	0.7348286430351436
325.4976641070097	2.5	A	nonviolation	0	0.8598479939391837
328.49762159492815	2.5	A	nonviolation	1	0.7698935799999163
331.4975926820189	2.5	A	nonviolation	1	0.7509350948967041
334.4975533459801	2.5	A	violation	1	0.6419695660006255
337.4975109390216	2.5	A	violation	1	0.8110075679142028
340.49745999393053	2.5	A	violation	1	0.7160548820393159
343.4807452110108	2.5	B	nonviolation	0	0.9687727509299292
346.480715774931	2.5	A	nonviolation	1	0.5957999500678852
