onset	duration	trial_type	reward_condition	condition	repetition	pairmate	pairID	response_accuracy	response_time
13.501392380800096	2.5	scene	reward	violation	1	A	6	0	1.053804298164323
16.001392380800098	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.501315848901868	2.5	scene	reward	nonviolation	1	A	87	1	0.7818768890574574
22.001315848901868	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.501236817799512	2.5	scene	reward	nonviolation	1	A	50	1	0.6200150710064918
28.001236817799512	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.501158001832668	2.5	scene	neutral	nonviolation	1	A	85	1	0.5640357821248472
34.001158001832664	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.50499921781011	2.5	scene	reward	nonviolation	1	A	77	1	0.6702016561757773
40.00499921781011	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
43.500999732874334	2.5	scene	reward	nonviolation	1	A	65	1	0.6540954799856991
46.00099973287435	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.500918568810455	2.5	scene	reward	nonviolation	1	A	68	1	0.9112726021558046
52.000918568810455	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.50455513689667	2.5	scene	neutral	violation	1	A	44	1	0.7006641549523921
58.00455513689667	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.50508133880793	2.5	scene	neutral	nonviolation	1	A	66	1	0.5761129301972687
64.00508133880794	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.50482234079391	2.5	scene	neutral	violation	1	A	22	0	0.5284502701833844
70.00482234079391	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.50462383590639	2.5	scene	reward	violation	1	A	38	1	0.9425714099779724
76.00462383590639	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.50437088101171	2.5	scene	neutral	violation	1	A	29	1	0.8368263058364391
82.00437088101171	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.50387718295678	2.5	scene	neutral	violation	1	A	13	1	0.6611818480305374
88.00387718295677	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.5036199768074	2.5	scene	neutral	violation	1	A	37	1	1.3095901270862669
94.0036199768074	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.50213170191273	2.5	scene	reward	violation	1	A	48	1	0.8709665560163558
100.00213170191273	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
103.50264914985745	2.5	scene	neutral	nonviolation	1	A	71	1	0.7885377060156316
106.00264914985745	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
109.50217503891326	2.5	scene	reward	violation	1	A	19	1	0.5640303089749068
112.00217503891326	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
115.50192717299795	2.5	scene	neutral	nonviolation	1	A	89	0	1.4162729638628662
118.00192717299795	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
121.50166404480116	2.5	scene	neutral	violation	1	A	32	1	0.9635397111997008
124.00166404480116	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
127.50162740191445	2.5	scene	neutral	nonviolation	1	A	81	1	0.8625758169218898
130.00162740191445	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
133.50036660395563	2.5	scene	reward	violation	1	A	1	1	0.7328469459898771
136.00036660395563	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
139.5011037888471	2.5	scene	neutral	nonviolation	1	A	53	1	0.7031015860848129
142.0011037888471	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
145.50085669499822	2.5	scene	neutral	violation	1	A	12	1	0.6273645148612559
148.00085669499822	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
151.50037595001052	2.5	scene	reward	violation	1	A	27	1	0.6938988037873061
154.00037595001052	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
157.50011512683702	2.5	scene	reward	violation	1	A	10	1	0.703089039074257
160.00011512683702	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
163.49985279282558	2.5	scene	neutral	nonviolation	1	A	76	1	1.5712924981489778
165.99985279282558	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
169.4995926539414	2.5	scene	neutral	violation	1	A	47	1	0.6296211529988796
