onset	duration	trial_type	condition	repetition	pairmate	pairID	category	subcategory	response_accuracy	response_time
13.50542299170047	1	prelearning	nonviolation	1	B	79	scene	outdoor	1	0.8181831054389477
16.505380058661107	1	prelearning	nonviolation	1	B	77	scene	indoor	0	0.5532281342893839
19.505340958014127	1	prelearning	nonviolation	1	A	75	scene	outdoor	1	0.5362732149660587
22.50530367717147	1	prelearning	violation	1	B	32	scene	outdoor	1	0.5033533731475472
25.505261413753036	1	prelearning	violation	1	A	31	scene	indoor	1	0.7173519004136324
28.505221035331488	1	prelearning	violation	1	A	30	scene	outdoor	1	0.5363878160715103
31.505180964246392	1	prelearning	nonviolation	1	A	77	scene	outdoor	1	0.4964293707162142
34.50514010153711	1	prelearning	violation	1	B	31	scene	outdoor	1	0.6654391326010227
37.50510203558952	1	prelearning	violation	1	B	27	scene	outdoor	1	0.5144984722137451
40.505061166360974	1	prelearning	violation	1	A	28	scene	outdoor	1	0.5945491995662451
43.50501987710595	1	prelearning	violation	1	B	29	scene	indoor	1	0.5925913341343403
46.5049812849611	1	prelearning	nonviolation	1	B	80	scene	indoor	1	0.456647165119648
49.50494178384543	1	prelearning	violation	1	B	25	scene	indoor	1	0.5086787585169077
52.50490238517523	1	prelearning	nonviolation	1	B	75	scene	outdoor	1	0.5137112569063902
55.50486042909325	1	prelearning	nonviolation	1	A	76	scene	outdoor	1	0.4897585408762098
58.50482202321291	1	prelearning	violation	1	A	27	scene	outdoor	1	0.5448110979050398
61.504781937226646	1	prelearning	violation	1	A	26	scene	outdoor	1	0.5738384593278171
64.50474044028671	1	prelearning	violation	1	B	30	scene	outdoor	1	0.5478602526709437
67.5047026630491	1	prelearning	nonviolation	1	A	80	scene	indoor	1	0.5429176008328795
70.50466105621307	1	prelearning	nonviolation	1	A	74	scene	indoor	1	0.5949608189985156
73.50462144706398	1	prelearning	nonviolation	1	A	79	scene	indoor	1	0.7509894305840135
76.50458549614994	1	prelearning	violation	1	A	29	scene	indoor	1	0.4900270840153098
79.50453978404403	1	prelearning	nonviolation	1	B	78	scene	indoor	1	0.4910666113719344
82.50450007431209	1	prelearning	nonviolation	1	B	73	scene	indoor	1	0.4121133238077164
85.50445854011924	1	prelearning	violation	1	A	25	scene	indoor	1	0.7411597212776542
88.50441926717758	1	prelearning	violation	1	B	28	scene	indoor	1	0.7111689802259207
91.50437899772078	1	prelearning	nonviolation	1	B	76	scene	outdoor	1	0.5662455959245563
94.50433931779115	1	prelearning	nonviolation	1	A	73	scene	indoor	1	0.5782809676602483
97.50429789721966	1	prelearning	violation	1	B	26	scene	indoor	1	0.5763984648510814
100.50425871554762	1	prelearning	nonviolation	1	B	74	scene	outdoor	1	0.5684310216456652
103.50422252807766	1	prelearning	nonviolation	1	A	78	scene	outdoor	1	0.5294913677498698
106.5041778497398	1	prelearning	violation	1	A	32	scene	indoor	1	0.5064389109611511
109.50413674954322	1	learning	nonviolation	2	A	73	scene	indoor	1	0.5404857704415917
112.50409431569278	1	learning	nonviolation	2	B	73	scene	indoor	1	0.4895184151828289
115.50405763089657	1	learning	nonviolation	2	A	74	scene	indoor	1	0.4925683150067926
118.50401529204099	1	learning	nonviolation	2	B	74	scene	outdoor	1	0.5226089470088482
121.50397672038523	1	learning	nonviolation	2	A	75	scene	outdoor	1	0.7386382883414626
124.50393480807543	1	learning	nonviolation	2	B	75	scene	outdoor	1	0.5616815974935889
127.50389423780143	1	learning	violation	2	A	25	scene	indoor	1	0.5467291930690408
130.5038538435474	1	learning	violation	2	B	25	scene	indoor	1	0.4967661686241627
133.50381280109286	1	learning	violation	2	A	26	scene	outdoor	1	0.535806680098176
136.50377244502306	1	learning	violation	2	B	26	scene	indoor	1	0.8438288411125541
139.5037400489673	1	learning	nonviolation	3	A	75	scene	outdoor	1	0.5478141633793712
142.50368925090882	1	learning	nonviolation	3	B	75	scene	outdoor	1	0.5699560241773725
145.50365032814443	1	learning	violation	2	A	27	scene	outdoor	1	0.5170644447207451
148.50361014343798	1	learning	violation	2	B	27	scene	outdoor	1	0.6490109441801906
151.50356748327613	1	learning	nonviolation	2	A	76	scene	outdoor	1	0.8890543989837171
154.50352682638913	1	learning	nonviolation	2	B	76	scene	outdoor	1	0.4601016063243151
157.5034883543849	1	learning	violation	2	A	28	scene	outdoor	1	0.9801398413255812
160.50344605837014	1	learning	violation	2	B	28	scene	indoor	1	0.5681829424574971
163.50340882968158	1	learning	violation	3	A	25	scene	indoor	1	0.5452292868867517
166.50336364936084	1	learning	violation	3	B	25	scene	indoor	1	0.4181833229959011
169.5033251550049	1	learning	nonviolation	3	A	76	scene	outdoor	1	0.5342993531376123
172.50328309088943	1	learning	nonviolation	3	B	76	scene	outdoor	1	0.4593458287417889
175.5032433886081	1	learning	violation	2	A	29	scene	indoor	1	0.4823831859976053
178.50320031121373	1	learning	violation	2	B	29	scene	indoor	1	0.4804291548207402
181.50316905044016	1	learning	nonviolation	2	A	77	scene	outdoor	1	0.6254591597244143
184.5031217960641	1	learning	nonviolation	2	B	77	scene	indoor	0	0.5085039008408785
187.50307990144935	1	learning	violation	3	A	28	scene	outdoor	1	0.407557250931859
190.50303816422817	1	learning	violation	3	B	28	scene	indoor	1	0.5126665709540248
193.5029960460961	1	learning	nonviolation	2	A	78	scene	outdoor	1	0.5656551048159599
196.5029581626877	1	learning	nonviolation	2	B	78	scene	indoor	1	0.5356830172240734
199.50291405525056	1	learning	violation	3	A	27	scene	outdoor	0	0.8547227876260877
202.50287573132664	1	learning	violation	3	B	27	scene	outdoor	1	0.5987369157373905
205.50283472333103	1	learning	nonviolation	3	A	73	scene	indoor	1	0.4877921789884567
208.50279338657856	1	learning	nonviolation	3	B	73	scene	indoor	1	0.5078474832698703
211.50275079254058	1	learning	nonviolation	4	A	76	scene	outdoor	1	0.467891757376492
214.50271221622825	1	learning	nonviolation	4	B	76	scene	outdoor	1	0.5539255775511265
217.50266898516568	1	learning	violation	4	A	25	scene	indoor	1	0.5809615775942802
220.50263028685	1	learning	violation	4	B	25	scene	indoor	1	0.5450008269399405
223.5025897379965	1	learning	violation	3	A	29	scene	indoor	1	0.6310498053207994
226.5025470908731	1	learning	violation	3	B	29	scene	indoor	n/a	n/a
229.50250719301403	1	learning	violation	3	A	26	scene	outdoor	1	0.8001326117664576
232.50246677920222	1	learning	violation	3	B	26	scene	indoor	1	0.902175390161574
235.50242564640942	1	learning	nonviolation	3	A	74	scene	indoor	1	0.558211431838572
238.50238347519192	1	learning	nonviolation	3	B	74	scene	outdoor	0	0.5472606103867292
241.50234344694763	1	learning	violation	2	A	30	scene	outdoor	1	0.41229218058288103
244.50230232905602	1	learning	violation	2	B	30	scene	outdoor	1	0.4973309822380543
247.50226305332038	1	learning	nonviolation	4	A	73	scene	indoor	1	0.5113723473623395
250.48555771727115	1	learning	nonviolation	4	B	73	scene	indoor	1	0.4900807486847043
253.50217948295173	1	violation	violation	5	A	25	scene	indoor	0	0.6824573129415512
256.5021395133808	1	violation	violation	1	X	25	face	female	1	0.85850322060287
259.4854291025549	1	learning	nonviolation	3	A	77	scene	outdoor	1	0.5542058646678925
262.48538943659514	1	learning	nonviolation	3	B	77	scene	indoor	0	0.5322495354339479
265.48534782696515	1	learning	nonviolation	4	A	75	scene	outdoor	1	0.5772240478545427
268.4853077540174	1	learning	nonviolation	4	B	75	scene	outdoor	1	0.6383332423865795
271.48526705708355	1	learning	violation	4	A	29	scene	indoor	1	0.5053728325292468
274.48522436525667	1	learning	violation	4	B	29	scene	indoor	1	0.5404375446960329
277.4852557135746	1	learning	violation	4	A	27	scene	outdoor	1	0.4883850337937474
280.48514558654284	1	learning	violation	4	B	27	scene	outdoor	1	0.442499915137887
283.4851046651602	1	restudy	violation	5	B	25	scene	indoor	1	0.8935349276289344
286.4850635807961	1	restudy	nonviolation	5	B	75	scene	outdoor	1	0.5595760010182858
289.48502323031425	1	learning	violation	4	A	28	scene	outdoor	1	0.4876203406602144
292.4849813953042	1	learning	violation	4	B	28	scene	indoor	1	0.8166684666648507
295.48494056984777	1	restudy	nonviolation	5	B	76	scene	outdoor	1	0.7137045059353113
298.48489942867315	1	learning	nonviolation	3	A	78	scene	outdoor	1	0.4827390303835273
301.4848567796871	1	learning	nonviolation	3	B	78	scene	indoor	1	0.5007125204429029
304.48481723759323	1	violation	violation	6	A	25	scene	indoor	1	0.4808261068537831
307.48477643262595	1	violation	violation	1	Y	25	face	female	1	0.4588685566559434
310.4847337063402	1	violation	violation	5	A	27	scene	outdoor	1	0.6329160444438457
313.4846952194348	1	violation	violation	1	X	27	face	male	1	0.5168716888874769
316.48465377278626	1	violation	violation	5	A	29	scene	indoor	1	0.5790032465010881
319.4846101477742	1	violation	violation	1	X	29	face	female	1	0.7190379342064261
322.48457124829287	1	learning	violation	4	A	26	scene	outdoor	1	0.4870829936116934
325.4845303697512	1	learning	violation	4	B	26	scene	indoor	1	0.5491183809936047
328.484487532638	1	learning	nonviolation	4	A	74	scene	indoor	1	1.0411671195179224
331.48444816935813	1	learning	nonviolation	4	B	74	scene	outdoor	1	0.5011954763904214
334.48440709058195	1	restudy	violation	5	B	27	scene	outdoor	1	0.5532475905492902
337.4843653906137	1	learning	violation	3	A	30	scene	outdoor	1	0.5072814207524061
340.4843228990212	1	learning	violation	3	B	30	scene	outdoor	1	0.6463204333558679
343.4842834733426	1	restudy	nonviolation	5	B	73	scene	indoor	0	1.1233672313392162
346.4842428844422	1	violation	violation	6	A	27	scene	outdoor	1	0.9384211013093592
349.4841996552422	1	violation	violation	1	Y	27	face	male	1	0.7224524263292551
