onset	duration	trial_type	reward_condition	condition	repetition	pairmate	pairID	response_accuracy	response_time
13.509163532988167	2.5	scene	reward	nonviolation	1	A	49	1	1.0425235809525475
16.00916353298817	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.509082710021172	2.5	scene	neutral	nonviolation	1	A	79	1	0.7426097439602017
22.009082710021172	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.509009327972308	2.5	scene	reward	nonviolation	1	A	73	1	0.7506032839883119
28.009009327972308	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.508934448007487	2.5	scene	reward	nonviolation	1	A	96	1	0.7667541350238025
34.00893444800749	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.50884584500455	2.5	scene	reward	violation	1	A	32	1	0.5728468659799546
40.00884584500455	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
43.50876423798036	2.5	scene	neutral	nonviolation	1	A	91	1	0.6289268690161407
46.00876423798036	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.50868541793898	2.5	scene	neutral	nonviolation	1	A	56	1	0.7159884150605649
52.00868541793898	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.50861337396782	2.5	scene	neutral	violation	1	A	7	1	0.8220806820318103
58.00861337396782	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.50852772698272	2.5	scene	neutral	violation	1	A	35	1	0.5731615490512922
64.00852772698272	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.50844728504308	2.5	scene	neutral	violation	1	A	2	1	0.5512470459798351
70.00844728504308	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.50837585993577	2.5	scene	neutral	violation	1	A	25	1	0.6723222570726648
76.00837585993577	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.50829520495607	2.5	scene	reward	nonviolation	1	A	95	1	0.5714141470380127
82.00829520495607	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.50821554998402	2.5	scene	neutral	violation	1	A	16	1	0.5614834659500048
88.00821554998402	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.50812986795789	2.5	scene	neutral	violation	1	A	37	1	0.5835704940836877
94.00812986795789	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.50805044802836	2.5	scene	neutral	violation	1	A	23	0	1.0876478309510276
100.00805044802836	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
103.50797065801451	2.5	scene	neutral	violation	1	A	29	1	0.6917278839973733
106.00797065801451	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
109.50789183494636	2.5	scene	reward	nonviolation	1	A	70	1	0.6757373880827799
112.00789183494636	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
115.5078112479532	2.5	scene	reward	violation	1	A	47	0	0.6938878099899739
118.0078112479532	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
121.50773246993776	2.5	scene	reward	nonviolation	1	A	85	1	0.6649699140107259
124.00773246993776	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
127.50765920802952	2.5	scene	neutral	violation	1	A	13	1	1.0700510309543458
130.0076592080295	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
133.50757538795006	2.5	scene	reward	violation	1	A	31	1	0.8671291940845549
136.00757538795006	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
139.50750205898657	2.5	scene	reward	nonviolation	1	A	63	1	0.6212034169584513
142.00750205898657	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
145.50741728593133	2.5	scene	neutral	nonviolation	1	A	65	1	0.5792868430726229
148.00741728593133	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
151.50734583393205	2.5	scene	reward	violation	1	A	1	1	0.5693578181089833
154.00734583393205	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
157.50725692103148	2.5	scene	reward	nonviolation	1	A	54	0	1.0154510149732232
160.00725692103148	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
163.50717908993832	2.5	scene	neutral	nonviolation	1	A	57	1	0.6555335510056466
166.00717908993832	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
169.50709861598443	2.5	scene	reward	nonviolation	1	A	76	1	0.6156118420185521
172.00709861598443	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
175.5070172509877	2.5	scene	neutral	nonviolation	1	A	55	1	1.3976986979832873
178.0070172509877	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
181.50694601493888	2.5	scene	reward	violation	1	A	24	1	0.6956844900269061
184.00694601493888	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
187.50686444493482	2.5	scene	neutral	nonviolation	1	A	87	1	0.6298416000790894
190.00686444493482	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
193.506787864957	2.5	scene	reward	violation	1	A	38	1	1.099922723020427
196.006787864957	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
199.50669947301503	2.5	scene	reward	violation	1	A	44	0	0.5640145490178838
202.00669947301503	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
205.5066276029684	2.5	scene	neutral	nonviolation	1	A	92	1	0.7151006730273366
208.0066276029684	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
211.50654752203263	2.5	scene	reward	violation	1	A	17	1	0.6191660949261859
214.00654752203263	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
217.5064595940057	2.5	scene	reward	violation	1	A	15	1	1.553257658961229
