onset	duration	trial_type	reward_condition	condition	repetition	pairmate	pairID	response_accuracy	response_time
13.513019141973928	2.5	scene	reward	violation	3	A	19	1	0.7928878930106293
16.013019141973928	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.51295220598695	2.5	scene	neutral	nonviolation	3	A	62	1	0.6429557529918384
22.01295220598695	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.512862427975048	2.5	scene	reward	nonviolation	3	A	81	1	0.6100489480013493
28.012862427975048	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.512795133981854	2.5	scene	neutral	nonviolation	3	A	83	1	0.7261116690060591
34.012795133981854	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.512716448982246	2.5	scene	neutral	violation	3	A	32	1	0.7051915650081355
40.012716448982246	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
43.512629277975066	2.5	scene	neutral	violation	3	A	38	1	0.6752845680166502
46.012629277975066	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.51254947797861	2.5	scene	reward	nonviolation	3	A	93	1	0.9893606459954754
52.01254947797861	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.51246928898036	2.5	scene	neutral	violation	3	A	23	1	0.6994073039968498
58.01246928898036	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.512395590980304	2.5	scene	reward	violation	3	A	39	1	0.7345393180148676
64.0123955909803	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.51231262498186	2.5	scene	neutral	nonviolation	3	A	54	1	0.7856106749968603
70.01231262498186	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.5122457149846	2.5	scene	reward	nonviolation	3	A	75	1	0.9546606570074799
76.0122457149846	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.49549389697495	2.5	scene	reward	violation	3	A	18	1	0.7214123560115695
81.99549389697495	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.51207696599886	2.5	scene	neutral	violation	3	A	30	1	0.7287563239806332
88.01207696599886	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.4953314519953	2.5	scene	reward	nonviolation	3	A	61	1	0.6685734239872545
93.9953314519953	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.49524394699257	2.5	scene	neutral	nonviolation	3	A	65	1	0.5926625279826112
99.99524394699257	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
103.495174923999	2.5	scene	neutral	violation	3	A	8	1	0.7187399769900367
105.995174923999	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
109.4950997349806	2.5	scene	reward	violation	3	A	44	1	0.6538141969940625
