onset	duration	trial_type	reward_condition	condition	repetition	pairmate	pairID	response_accuracy	response_time
13.501678799046203	2.5	scene	neutral	nonviolation	3	A	59	1	0.9459984540008008
16.001678799046203	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.50586579903029	2.5	scene	neutral	nonviolation	3	A	56	1	0.714814986102283
22.00586579903029	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.501514294184748	2.5	scene	reward	nonviolation	3	A	50	1	0.9301648009568452
28.001514294184748	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.50489991507493	2.5	scene	reward	nonviolation	3	A	57	1	0.6397781190462409
34.00489991507493	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.501345925964415	2.5	scene	neutral	nonviolation	3	A	86	1	0.9553342810831964
40.001345925964415	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
43.50515706604347	2.5	scene	reward	nonviolation	3	A	78	1	0.7205239611212164
46.00515706604346	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.503727467963465	2.5	scene	neutral	violation	3	A	12	0	0.8068310541566461
52.003727467963465	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.50425614719279	2.5	scene	reward	nonviolation	3	A	69	1	0.7144221789203584
58.00425614719279	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.50376070709899	2.5	scene	neutral	violation	3	A	30	1	0.732896476984024
64.00376070709899	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.50228636316024	2.5	scene	neutral	nonviolation	3	A	84	1	0.8493967389222234
70.00228636316024	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.50279508600944	2.5	scene	reward	violation	3	A	25	1	0.683891111984849
76.00279508600944	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.5008029001765	2.5	scene	reward	violation	3	A	39	1	0.6288817469030619
82.0008029001765	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.50072298198937	2.5	scene	reward	violation	3	A	6	1	1.0439676071982829
88.00072298198938	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.50167975318618	2.5	scene	reward	nonviolation	3	A	80	1	0.6880122798029333
94.00167975318618	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.50056478916667	2.5	scene	reward	violation	3	A	2	0	0.7111199100036174
100.00056478916667	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
103.5004859790206	2.5	scene	neutral	violation	3	A	13	1	0.9972049540374428
106.0004859790206	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
109.50061639701015	2.5	scene	reward	violation	3	A	14	1	0.6680724371690303
112.00061639701015	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
115.50112882209942	2.5	scene	neutral	violation	3	A	19	1	0.8105639000423253
118.00112882209942	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
121.50025330507195	2.5	scene	neutral	nonviolation	3	A	73	1	0.6814376490656286
124.00025330507195	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
127.5003967799712	2.5	scene	reward	violation	3	A	9	0	1.2072932461742312
130.0003967799712	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
133.50009164097722	2.5	scene	reward	nonviolation	3	A	92	1	0.6435969620943071
136.00009164097722	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
139.5000148511026	2.5	scene	reward	nonviolation	3	A	54	1	0.6226758318953216
142.0000148511026	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
145.4999376470223	2.5	scene	neutral	nonviolation	3	A	95	1	0.6807509099598974
147.9999376470223	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
