onset	duration	trial_type	condition	repetition	pairmate	pairID	category	subcategory	response_accuracy	response_time
13.504325304063967	1	prelearning	nonviolation	1	A	91	scene	indoor	1	0.6880743829533458
16.504286900046278	1	prelearning	violation	1	A	46	scene	indoor	1	0.4951122519560158
19.504259145003747	1	prelearning	violation	1	A	45	scene	indoor	1	0.5461491260211915
22.50421210203785	1	prelearning	nonviolation	1	A	93	scene	outdoor	1	0.3571876919595525
25.504167592967857	1	prelearning	nonviolation	1	A	92	scene	indoor	1	0.5252337310230359
28.504135177005075	1	prelearning	nonviolation	1	A	90	scene	outdoor	1	0.3982685880037025
31.50409970304463	1	prelearning	violation	1	B	48	scene	outdoor	1	0.3703059649560601
34.50404550402891	1	prelearning	violation	1	B	42	scene	indoor	1	0.5383615869795904
37.504013295983896	1	prelearning	nonviolation	1	B	89	scene	outdoor	1	0.4653989650541917
40.50396713998634	1	prelearning	violation	1	B	44	scene	indoor	1	0.6574360170634463
43.50396711903159	1	prelearning	nonviolation	1	A	95	scene	outdoor	1	0.546438041026704
46.503885227022685	1	prelearning	violation	1	B	47	scene	outdoor	1	0.490517013007775
49.50384874304291	1	prelearning	nonviolation	1	A	89	scene	outdoor	1	0.5175546519458294
52.50380866206251	1	prelearning	nonviolation	1	B	93	scene	outdoor	1	0.3625967259285972
55.50376674206928	1	prelearning	nonviolation	1	B	94	scene	indoor	1	0.5176451199222356
58.50372698204592	1	prelearning	violation	1	B	43	scene	outdoor	1	0.3986802169820294
61.503689286997535	1	prelearning	nonviolation	1	A	96	scene	indoor	0	0.7227206999668851
64.50364595802967	1	prelearning	nonviolation	1	B	91	scene	outdoor	1	0.5277591069461778
67.50360958499368	1	prelearning	violation	1	A	48	scene	indoor	1	0.7047979310154915
70.50357414304744	1	prelearning	violation	1	A	41	scene	outdoor	1	0.5957987109431997
73.50352955097333	1	prelearning	violation	1	A	44	scene	outdoor	1	0.5678796550491825
76.503483470995	1	prelearning	nonviolation	1	B	90	scene	indoor	1	0.8119320829864591
79.50344368303195	1	prelearning	nonviolation	1	B	92	scene	indoor	1	0.6339706999715418
82.50340703397524	1	prelearning	nonviolation	1	B	96	scene	outdoor	1	0.5010067659895867
85.5033616500441	1	prelearning	violation	1	B	45	scene	outdoor	1	0.6159700389252976
88.5033244540682	1	prelearning	nonviolation	1	A	94	scene	indoor	1	0.7370849458966404
91.5032834809972	1	prelearning	nonviolation	1	B	95	scene	indoor	1	0.6291269480716437
94.50324240000921	1	prelearning	violation	1	A	43	scene	outdoor	1	0.6041636080481112
97.50320356001612	1	prelearning	violation	1	B	41	scene	indoor	1	0.4562190360156819
100.50316114898304	1	prelearning	violation	1	A	47	scene	outdoor	1	0.4992484900867567
103.50312799005768	1	prelearning	violation	1	A	42	scene	indoor	1	0.5672855549491942
106.50308004498949	1	prelearning	violation	1	B	46	scene	indoor	1	0.617341311997734
109.5030414829962	1	learning	nonviolation	2	A	89	scene	outdoor	1	0.5813731689704582
112.50300478597636	1	learning	nonviolation	2	B	89	scene	outdoor	1	0.595404482097365
115.50296723202335	1	learning	nonviolation	2	A	90	scene	outdoor	1	0.6684478039387614
118.50291730696337	1	learning	nonviolation	2	B	90	scene	indoor	1	0.6174959490308538
121.50287642900366	1	learning	violation	2	A	41	scene	outdoor	1	0.4565389769850299
124.50282652198806	1	learning	violation	2	B	41	scene	indoor	1	0.4585922070546076
127.50279441999737	1	learning	violation	2	A	42	scene	indoor	1	0.4276236919686198
130.50275476602837	1	learning	violation	2	B	42	scene	indoor	1	0.5306610190309584
133.50271470006555	1	learning	nonviolation	2	A	91	scene	indoor	1	0.5266979809384793
136.5026725550415	1	learning	nonviolation	2	B	91	scene	outdoor	1	0.7707485719583929
139.50263167906087	1	learning	violation	2	A	43	scene	outdoor	1	0.5047828139504418
142.50258997199126	1	learning	violation	2	B	43	scene	outdoor	1	0.5978354889666662
145.50254866096657	1	learning	violation	2	A	44	scene	outdoor	1	0.4858651621034369
148.50251280597877	1	learning	violation	2	B	44	scene	indoor	1	0.7129107300424948
151.5024690959835	1	learning	violation	2	A	45	scene	indoor	1	0.6719570109853521
154.5024309799774	1	learning	violation	2	B	45	scene	outdoor	1	0.5569900780683383
157.50238623307087	1	learning	nonviolation	2	A	92	scene	indoor	1	0.5780363929225132
160.50234358606394	1	learning	nonviolation	2	B	92	scene	indoor	1	0.6910772769479081
163.50231432996225	1	learning	violation	2	A	46	scene	indoor	1	0.4861049720784649
166.50226380303502	1	learning	violation	2	B	46	scene	indoor	1	0.4681559760356322
169.5022222920088	1	learning	nonviolation	3	A	90	scene	outdoor	1	0.7062008930370212
172.50218081206552	1	learning	nonviolation	3	B	90	scene	indoor	1	0.5152383350068703
175.5021403960418	1	learning	violation	2	A	47	scene	outdoor	1	0.5122823029523715
178.50209905998784	1	learning	violation	2	B	47	scene	outdoor	1	0.443323414074257
181.50206595100465	1	learning	nonviolation	3	A	89	scene	outdoor	1	0.7213656719541177
184.50201829406436	1	learning	nonviolation	3	B	89	scene	outdoor	1	0.5734032419277355
187.50197716406547	1	learning	violation	3	A	44	scene	outdoor	1	0.5864490868989378
190.50194219301918	1	learning	violation	3	B	44	scene	indoor	1	0.6834795729955658
193.5019016540609	1	learning	nonviolation	3	A	91	scene	indoor	1	0.5504432829329744
196.5018604910001	1	learning	nonviolation	3	B	91	scene	outdoor	1	0.5225628260523081
199.50181882607285	1	learning	violation	3	A	46	scene	indoor	1	0.5206076569156721
202.5017709310632	1	learning	violation	3	B	46	scene	indoor	1	0.4716599339153618
205.50172676297368	1	learning	violation	3	A	47	scene	outdoor	1	0.4036978920921683
208.50168975000267	1	learning	violation	3	B	47	scene	outdoor	1	0.4997319979593158
211.5016461580526	1	learning	nonviolation	2	A	93	scene	outdoor	1	0.6986968779237941
214.5016092200531	1	learning	nonviolation	2	B	93	scene	outdoor	1	0.6498174539301544
217.5015735650668	1	learning	violation	4	A	46	scene	indoor	1	0.6458510858938098
220.50153244205285	1	learning	violation	4	B	46	scene	indoor	1	0.5878949349280447
223.5014955420047	1	learning	nonviolation	4	A	90	scene	outdoor	1	0.5299301820341498
226.50145365402568	1	learning	nonviolation	4	B	90	scene	indoor	1	0.5269837169907987
229.50140153802934	1	learning	violation	3	A	41	scene	outdoor	1	0.5250310649862513
232.50135845504698	1	learning	violation	3	B	41	scene	indoor	1	0.464072410017252
235.50131696602332	1	learning	nonviolation	2	A	94	scene	indoor	1	0.5641095970058814
238.50127696106208	1	learning	nonviolation	2	B	94	scene	indoor	1	0.5461506219580771
241.50124117301309	1	learning	violation	3	A	43	scene	outdoor	1	0.5621064499719068
244.50119125097993	1	learning	violation	3	B	43	scene	outdoor	1	0.4662382600363344
247.5011595810065	1	learning	violation	3	A	42	scene	indoor	1	0.6391887629870325
250.5011116960086	1	learning	violation	3	B	42	scene	indoor	1	0.6343452379805967
253.5010815149872	1	learning	violation	2	A	48	scene	indoor	1	0.4963423720328137
256.5010319229914	1	learning	violation	2	B	48	scene	outdoor	1	0.4893971900455654
