onset	duration	trial_type	reward_condition	condition	repetition	pairmate	pairID	response_accuracy	response_time
13.501897719979752	2.5	scene	neutral	nonviolation	3	A	85	1	0.7705771600012667
16.001897719979752	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.50182002299698	2.5	scene	reward	nonviolation	3	A	53	1	0.7696563979843631
22.001820022996977	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
25.50174082099693	2.5	scene	neutral	violation	3	A	48	1	0.654727337998338
28.00174082099693	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
31.50166186600109	2.5	scene	neutral	violation	3	A	44	1	0.9888096119975672
34.00166186600109	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
37.50158259397722	2.5	scene	reward	violation	3	A	25	1	0.9848945800040384
40.00158259397722	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
43.501503241976025	2.5	scene	neutral	violation	3	A	32	1	0.7489693440147676
46.001503241976025	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
49.50142400298501	2.5	scene	neutral	nonviolation	3	A	81	1	0.6080358489998616
52.00142400298501	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
55.50573903799523	2.5	scene	neutral	violation	3	A	9	1	0.7196156590071041
58.00573903799523	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
61.50126545998501	2.5	scene	reward	nonviolation	3	A	93	1	0.6312055230082478
64.00126545998499	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
67.50118625100004	2.5	scene	reward	violation	3	A	13	1	0.7422901349782478
70.00118625100004	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
73.50518192799063	2.5	scene	neutral	violation	3	A	15	1	0.8023020520049613
76.00518192799063	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.50492577598197	2.5	scene	neutral	violation	3	A	2	1	0.6485519990092143
82.00492577598197	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
85.50567760999547	2.5	scene	reward	violation	3	A	22	1	0.6488600430020597
88.00567760999546	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
91.5034780330025	2.5	scene	reward	violation	3	A	37	1	1.1919980149832554
94.0034780330025	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
97.5042175729759	2.5	scene	reward	violation	3	A	7	1	0.7522590210137423
100.0042175729759	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
103.50402074298472	2.5	scene	reward	nonviolation	3	A	65	1	0.7704649810038973
106.00402074298472	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
109.50275951399817	2.5	scene	neutral	nonviolation	3	A	94	1	0.7157199339999352
112.00275951399817	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
115.5024985949858	2.5	scene	reward	violation	3	A	41	0	0.6029792889894452
118.0024985949858	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
121.5032365369843	2.5	scene	neutral	nonviolation	3	A	49	1	0.6072481950104702
124.0032365369843	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
127.50198710500263	2.5	scene	neutral	nonviolation	3	A	57	1	1.1134986849792767
130.00198710500263	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
133.50195212400286	2.5	scene	reward	nonviolation	3	A	68	1	0.8470300589979161
136.00195212400286	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
139.50191391998672	2.5	scene	reward	nonviolation	3	A	84	1	0.6605658619955648
142.0019139199867	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
145.50165227000252	2.5	scene	neutral	nonviolation	3	A	72	1	0.8318289009912405
148.00165227000252	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
151.50039080798157	2.5	scene	reward	nonviolation	3	A	88	1	0.7050912790000439
154.00039080798157	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
157.5011344559898	2.5	scene	reward	violation	3	A	18	1	0.7633509000006597
160.0011344559898	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
163.50109904498098	2.5	scene	reward	nonviolation	3	A	58	1	0.7163861209992319
166.00109904498098	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
169.49983695297848	2.5	scene	neutral	violation	3	A	30	1	1.0245749599998817
171.9998369529785	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
175.50057536899112	2.5	scene	reward	nonviolation	3	A	91	1	0.7759169689961709
178.00057536899112	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
181.500311382988	2.5	scene	reward	nonviolation	3	A	56	1	0.8732098480104469
184.000311382988	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
187.49959238700103	2.5	scene	reward	violation	3	A	10	1	0.5238906930026133
189.99959238700103	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
193.4995127339789	2.5	scene	reward	nonviolation	3	A	75	1	0.7859838550211862
195.9995127339789	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
199.49943220999558	2.5	scene	reward	nonviolation	3	A	78	1	0.8410609059792478
201.99943220999558	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
205.4993509379856	2.5	scene	reward	violation	3	A	35	1	0.7071569740073755
207.9993509379856	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
211.4992715260014	2.5	scene	reward	violation	3	A	46	1	0.7532165889861062
213.9992715260014	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
217.4991926199873	2.5	scene	neutral	nonviolation	3	A	67	1	0.8313068670104258
219.9991926199873	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
223.49911225397958	2.5	scene	neutral	nonviolation	3	A	92	1	0.826384763000533
225.99911225397958	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
229.49902928297524	2.5	scene	neutral	nonviolation	3	A	76	1	0.7644750930194277
231.99902928297524	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
235.49895218398888	2.5	scene	reward	nonviolation	3	A	60	1	0.7825674480118323
237.99895218398888	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
241.49887178698555	2.5	scene	neutral	violation	3	A	5	1	0.7836264070065226
243.99887178698555	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
247.4987921349821	2.5	scene	neutral	violation	3	A	24	1	0.7847006120136939
249.9987921349821	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
253.4987118529971	2.5	scene	neutral	violation	3	A	21	1	0.8317978229897562
255.9987118529971	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
259.4986319349846	2.5	scene	neutral	nonviolation	3	A	61	1	0.7938650620053522
261.9986319349846	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
265.4985514099826	2.5	scene	reward	violation	3	A	4	1	0.7809528429934289
267.9985514099826	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
271.4984709009877	2.5	scene	reward	violation	3	A	27	1	0.8020316990150604
273.9984709009877	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
277.4983907499991	2.5	scene	neutral	nonviolation	3	A	50	1	0.644118049996905
279.9983907499991	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
283.4983105729916	2.5	scene	neutral	violation	3	A	34	1	0.6871898359968327
285.9983105729916	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
289.4982311609783	2.5	scene	neutral	violation	3	A	40	1	0.8382667500118259
291.9982311609783	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
295.4981485609896	2.5	scene	neutral	nonviolation	3	A	80	1	0.908363010006724
297.9981485609896	3.0	feedback	n/a	n/a	n/a	n/a	n/a	n/a	n/a
