onset	duration	trial_type	condition	repetition	pairmate	pairID	category	subcategory	response_accuracy	response_time
13.505585698003413	1	prelearning	violation	1	A	17	scene	indoor	1	0.64331489399774
16.50554950699734	1	prelearning	nonviolation	1	B	67	scene	outdoor	1	0.524347583996132
19.505497478996407	1	prelearning	violation	1	A	21	scene	outdoor	1	0.506391535003786
22.505457224993734	1	prelearning	violation	1	B	23	scene	outdoor	1	0.49644291799631896
25.5054190439987	1	prelearning	violation	1	A	22	scene	outdoor	1	0.5404854579974199
28.505377590001444	1	prelearning	nonviolation	1	A	69	scene	indoor	0	0.7545255649893079
31.505336639995217	1	prelearning	violation	1	B	22	scene	indoor	1	0.7945683940051822
34.505297608993715	1	prelearning	violation	1	A	24	scene	outdoor	1	0.4526131470047403
37.50525738600117	1	prelearning	nonviolation	1	A	72	scene	outdoor	1	0.5706729439989431
40.50521726800071	1	prelearning	violation	1	A	20	scene	indoor	1	0.5676906159933424
43.505177436993115	1	prelearning	violation	1	B	18	scene	indoor	1	0.7437269729998661
46.50513767800294	1	prelearning	nonviolation	1	B	72	scene	indoor	1	0.6777653429890051
49.50509629599401	1	prelearning	nonviolation	1	B	70	scene	outdoor	1	0.5618172819959001
52.50505681699724	1	prelearning	nonviolation	1	B	66	scene	outdoor	1	0.545850551003241
55.50502677899203	1	prelearning	violation	1	B	21	scene	indoor	1	0.7328771660104394
58.5049729589955	1	prelearning	violation	1	B	17	scene	outdoor	1	0.5939369999978226
61.504932871001074	1	prelearning	nonviolation	1	A	71	scene	indoor	1	0.6109987539966824
64.50491350700031	1	prelearning	nonviolation	1	A	67	scene	outdoor	1	0.5639993149961811
67.50485661700077	1	prelearning	nonviolation	1	A	66	scene	indoor	0	1.1380516130011529
70.50482085699332	1	prelearning	violation	1	A	19	scene	outdoor	1	0.5100875180069124
73.50476819300094	1	prelearning	nonviolation	1	A	65	scene	indoor	1	0.4511375250003766
76.50473319199226	1	prelearning	violation	1	A	23	scene	indoor	1	0.6391716159996577
79.50469920699835	1	prelearning	nonviolation	1	B	71	scene	outdoor	1	0.5322108389955247
82.5046608249977	1	prelearning	nonviolation	1	A	70	scene	outdoor	1	0.7212482640024973
85.5046177119948	1	prelearning	nonviolation	1	A	68	scene	outdoor	1	0.5352917290001642
88.50457516800087	1	prelearning	nonviolation	1	B	69	scene	indoor	1	0.6093358079961035
91.50453062300221	1	prelearning	nonviolation	1	B	68	scene	indoor	0	0.4903792909899494
94.50448873300049	1	prelearning	violation	1	A	18	scene	indoor	1	0.5834227159939473
97.50445534900065	1	prelearning	nonviolation	1	B	65	scene	indoor	1	0.7584543879929697
100.50440807599807	1	prelearning	violation	1	B	24	scene	outdoor	1	0.7505040590040153
103.50437548400078	1	prelearning	violation	1	B	20	scene	indoor	1	0.5935355979891028
106.5043280999962	1	prelearning	violation	1	B	19	scene	outdoor	1	0.9796121429972118
109.50429404400349	1	learning	nonviolation	2	A	65	scene	indoor	0	0.8576157839997904
112.50425626999642	1	learning	nonviolation	2	B	65	scene	indoor	1	0.8236566440027673
115.50420336700337	1	learning	nonviolation	2	A	66	scene	indoor	1	0.5927074499923037
118.50416504099847	1	learning	nonviolation	2	B	66	scene	outdoor	1	0.5667726050014608
121.50412073900223	1	learning	nonviolation	2	A	67	scene	outdoor	1	0.5027896739920834
124.50408422799956	1	learning	nonviolation	2	B	67	scene	outdoor	1	0.4438514999928884
127.50404833999346	1	learning	nonviolation	2	A	68	scene	outdoor	1	0.4278665890014963
130.50400801099022	1	learning	nonviolation	2	B	68	scene	indoor	1	0.6299109060055343
133.5039598959993	1	learning	violation	2	A	17	scene	indoor	0	0.8619583010004135
136.5039201329928	1	learning	violation	2	B	17	scene	outdoor	1	0.5969923649972769
139.50388160400323	1	learning	violation	2	A	18	scene	indoor	1	0.5230333219951717
142.50384654299702	1	learning	violation	2	B	18	scene	indoor	1	0.9620719619997544
145.5037960619957	1	learning	nonviolation	3	A	67	scene	outdoor	1	0.5971199470077408
148.5037546649983	1	learning	nonviolation	3	B	67	scene	outdoor	1	0.8211691610049456
151.5037155149912	1	learning	nonviolation	3	A	65	scene	indoor	1	0.6291999180102721
154.50367260399798	1	learning	nonviolation	3	B	65	scene	indoor	1	0.8892434470035369
157.5036367339926	1	learning	violation	2	A	19	scene	outdoor	1	0.7062803440057905
160.50359894899884	1	learning	violation	2	B	19	scene	outdoor	1	0.5823152240045602
163.50356379299774	1	learning	violation	3	A	18	scene	indoor	1	0.5963547860010294
166.50351909099845	1	learning	violation	3	B	18	scene	indoor	0	0.7443996109941509
169.5034698649979	1	learning	nonviolation	2	A	69	scene	indoor	1	0.6214583639957709
172.50342906000148	1	learning	nonviolation	2	B	69	scene	indoor	1	0.6264935660001356
175.50339443299163	1	learning	violation	2	A	20	scene	indoor	1	0.5875370280118659
178.5033472119976	1	learning	violation	2	B	20	scene	indoor	1	0.957569745994988
181.5033047479956	1	learning	violation	2	A	21	scene	outdoor	1	0.9086440929968376
184.5032660989964	1	learning	violation	2	B	21	scene	indoor	1	0.9915770060033536
187.5032313289994	1	learning	nonviolation	4	A	67	scene	outdoor	1	0.5656947319948813
190.503183023	1	learning	nonviolation	4	B	67	scene	outdoor	1	0.6547372880013427
193.50314891900047	1	learning	violation	3	A	17	scene	indoor	1	0.5277728539949749
196.50310852000257	1	learning	violation	3	B	17	scene	outdoor	1	0.4968189649953274
199.50305960999682	1	learning	nonviolation	4	A	65	scene	indoor	1	0.4908619549969444
