onset	duration	trial_type	condition	response_accuracy	response_time
13.507003308011914	2.5	B	violation	1	1.343870952987345
16.506962279992877	2.5	B	nonviolation	0	1.2439191850135105
19.506916600017576	2.5	A	violation	1	0.7829648019978777
22.506878145999508	2.5	A	nonviolation	1	0.8839962769998237
25.5068402030156	2.5	A	violation	1	0.8400364909903146
28.50679718499305	2.5	A	violation	1	0.6650806200050283
31.506766456004694	2.5	A	violation	1	0.7631111420050729
34.50672260799911	2.5	B	violation	1	1.1241576409956906
37.506682149018154	2.5	B	nonviolation	1	1.1041964019823354
40.5066396970069	2.5	A	violation	1	0.710242016997654
43.506603390997036	2.5	B	violation	0	0.9162812260037754
46.506564092996996	2.5	B	violation	1	1.044248388003325
49.50652125201304	2.5	A	nonviolation	1	0.7763615860021673
52.5064856960089	2.5	A	nonviolation	1	0.7534013869881164
55.506445951003116	2.5	A	violation	1	0.8314360280055553
58.506413213995984	2.5	B	violation	1	0.8404682620021049
61.506363936990965	2.5	B	nonviolation	0	1.1075162920169532
64.50633310500416	2.5	A	violation	1	0.7985495119937696
67.5062879320176	2.5	B	nonviolation	0	0.8205927459930535
70.50624742999207	2.5	B	violation	0	0.8376370680052787
73.50620918601633	2.5	A	nonviolation	1	0.964677641983144
76.50616866999191	2.5	A	violation	1	0.9907185560150538
79.50612689499394	2.5	B	nonviolation	1	1.0487586359959096
82.50608780400944	2.5	B	nonviolation	0	0.8077960060036276
85.50605873801395	2.5	B	nonviolation	1	0.9658257199916988
88.50601204900886	2.5	B	nonviolation	0	0.8298803239886183
91.50597343899427	2.5	A	violation	1	0.6189182760135736
94.5059327550116	2.5	B	violation	1	0.8139529729960486
97.50590207299685	2.5	B	nonviolation	1	0.7279823230055626
100.50585412699728	2.5	A	nonviolation	1	0.6260308260098101
103.50581015399077	2.5	A	nonviolation	1	0.687075135007035
106.50577148699085	2.5	B	nonviolation	0	1.0501142060093116
109.50574085500557	2.5	B	violation	0	1.3351488949847408
112.50568935400223	2.5	A	nonviolation	1	0.5801996559894178
115.50565527999424	2.5	B	violation	0	1.1972367020207455
118.50561501900664	2.5	B	nonviolation	0	0.9032723660056944
121.50557396601653	2.5	B	violation	0	0.7993445949978195
124.50554256999749	2.5	B	violation	0	1.0253469519957434
127.50549231399782	2.5	A	nonviolation	1	0.5793979229929391
130.50545754600898	2.5	B	nonviolation	0	0.9664354019914754
133.50541224499466	2.5	A	nonviolation	1	0.7554852580069564
136.50537283599257	2.5	A	violation	1	0.7845174710091669
139.50533599601476	2.5	A	nonviolation	1	0.5675578279769979
142.50529762200313	2.5	A	violation	1	0.5335937989875674
145.5052548169915	2.5	A	violation	1	0.5796377970254979
148.50521657400532	2.5	A	nonviolation	1	0.6406750009919051
151.50518110700068	2.5	B	violation	0	0.7497143849905115
154.5051337229961	2.5	A	nonviolation	1	0.7817598080146126
157.50510558800306	2.5	A	violation	1	0.8017876720114145
160.50505027099283	2.5	B	nonviolation	1	0.8188035130151547
163.50501238601282	2.5	B	violation	1	0.9878844049817416
166.50497152900792	2.5	A	violation	1	0.8239277139946353
169.50493507200736	2.5	B	nonviolation	1	1.085959982010536
172.50490142800842	2.5	B	violation	0	1.0489949990005698
175.50485609899624	2.5	A	nonviolation	1	0.5710360160155687
178.50481528599633	2.5	B	violation	0	0.9910805599938612
181.50477117800617	2.5	B	nonviolation	0	0.9811289719946216
184.5047352230176	2.5	A	nonviolation	1	0.6811634919722565
187.50469438801517	2.5	B	nonviolation	0	0.9622026739816648
190.50465433500358	2.5	B	nonviolation	0	0.8282470930134878
193.50461400099445	2.5	A	nonviolation	1	0.7152818320028018
196.50457438899318	2.5	A	violation	1	0.8653235370002221
199.5045334339957	2.5	A	violation	1	0.5943636239971966
202.5044889750134	2.5	A	violation	1	1.0124138270039111
205.50446127500615	2.5	B	violation	1	0.8944367390067782
208.50441627900003	2.5	B	violation	1	0.6284820020082407
211.4876900690142	2.5	A	violation	1	0.5482082910020836
214.50432650200676	2.5	B	nonviolation	1	0.7735789779981133
217.50428740298958	2.5	A	violation	1	0.6676160290080588
220.50424932301397	2.5	B	violation	0	1.0646582070039583
223.48753536300498	2.5	B	violation	0	0.7923695700010285
226.48750146001115	2.5	B	nonviolation	0	0.8244031469803303
229.48745936198972	2.5	A	nonviolation	1	0.7464441570045892
232.48741489299573	2.5	A	nonviolation	1	0.6464910790091379
235.48737608001102	2.5	B	violation	1	0.6365267589862924
238.48733344799254	2.5	A	nonviolation	1	0.5375961039972026
241.4873045709974	2.5	A	violation	1	0.6586038700188511
244.4872547830164	2.5	B	violation	1	0.6136501559813041
