onset	duration	trial_type	subcategory	response_accuracy	response_time
13.513920768047683	0.5	scene	indoor	1	0.6949588949792087
15.013868062058464	0.5	scene	indoor	1	0.5130133219063282
16.513875682023354	0.5	scene	outdoor	1	0.5329326669452712
18.013835608027875	0.5	scene	outdoor	1	0.6150451690191403
19.513833450968377	0.5	scene	indoor	1	0.48005535104312
21.013786602998152	0.5	scene	indoor	1	0.5340817320393398
22.513800245011225	0.5	scene	outdoor	1	0.535962495021522
24.01375249202829	0.5	scene	outdoor	1	0.59912585595157
25.51375492103398	0.5	scene	indoor	1	0.5201432720059529
27.01370550401043	0.5	scene	outdoor	1	0.7051776809385046
43.51348914694972	0.5	object	natural	1	0.6273944770218804
45.01347705803346	0.5	object	natural	1	0.5614076509373263
46.51345097098965	0.5	object	manmade	1	0.4714336460456252
47.99675289099105	0.5	object	natural	1	0.5871325749903917
49.49673277104739	0.5	object	manmade	1	0.6101551619358361
51.01339634798933	0.5	object	manmade	1	0.649490901036188
52.49669207201805	0.5	object	natural	1	0.47620295197702944
53.99667163903359	0.5	object	manmade	1	0.6072158509632573
55.496651649009436	0.5	object	manmade	1	0.6462312770308927
56.99662895104848	0.5	object	natural	1	0.6292592379031703
73.49641910998616	0.5	scene	outdoor	1	0.5534717770060524
74.99639920704067	0.5	scene	indoor	1	0.519484702963382
76.49638469098136	0.5	scene	outdoor	1	0.4855070230551064
77.99635630403645	0.5	scene	outdoor	1	0.5435277379583567
79.49633352598175	0.5	scene	outdoor	1	0.7265542499953881
80.9963198750047	0.5	scene	indoor	1	0.5655972110107541
82.4962970810011	0.5	scene	indoor	1	0.6115937150316313
83.99627434299327	0.5	scene	indoor	1	0.5876177400350571
85.49626453500241	0.5	scene	outdoor	1	0.46162351802922785
86.99623826495372	0.5	scene	indoor	1	0.485656961100176
103.49601797596551	0.5	face	male	1	0.5308723510242999
104.99600707401987	0.5	face	male	1	0.4108851159689948
106.49598898505792	0.5	face	male	1	0.4738998089451343
107.99596065294463	0.5	face	male	1	0.4079368830425665
109.49594897695351	0.5	face	female	1	0.4239459430100396
110.99592109397054	0.5	face	female	1	0.4959706470835954
112.4959353080485	0.5	face	female	1	0.49196512799244374
113.99587600305676	0.5	face	female	1	0.48601307696662843
115.49586316698696	0.5	face	male	1	0.6690327039686963
116.9958459920017	0.5	face	female	1	0.5650393640389666
133.49562047002837	0.5	object	natural	1	0.6232790389331058
134.9956005109707	0.5	object	manmade	1	0.5172929529799148
136.49559473304544	0.5	object	natural	1	0.593301601940766
137.99556089704856	0.5	object	natural	1	0.6083404929377139
139.4955496219918	0.5	object	natural	1	0.5183520200662315
140.99552823998965	0.5	object	manmade	1	0.5573699830565602
142.49549988203216	0.5	object	natural	1	0.623401983990334
143.99548681802116	0.5	object	manmade	1	0.6534148820210248
145.49546025996096	0.5	object	manmade	1	0.5974448500201106
146.99543773499317	0.5	object	manmade	1	0.6164632020518184
163.49522988905665	0.5	face	female	1	0.5496716529596597
164.9952002989594	0.5	face	male	1	0.5047033079899848
166.49985049804673	0.5	face	female	1	0.5290478939423338
167.99515906802844	0.5	face	male	1	0.5517408469459042
169.4951460689772	0.5	face	female	1	0.8057533280225471
170.9951186759863	0.5	face	female	1	0.5567825259640813
172.49510104802903	0.5	face	male	1	0.5147965379292145
173.99507736496162	0.5	face	female	1	0.5778328060405329
175.49506718595512	0.5	face	male	1	0.4488330720923841
176.9950810460141	0.5	face	male	1	0.6448246400104836
193.4948201479856	0.5	object	natural	1	0.5960841759806499
194.99479816900566	0.5	object	manmade	1	0.6309840650064871
196.49900475004688	0.5	object	natural	1	0.6368997659301385
197.99476646399125	0.5	object	natural	1	0.858141929958947
199.4947461419506	0.5	object	manmade	1	0.7431473260512576
200.9947153159883	0.5	object	natural	1	0.7061225359793752
202.49470588099211	0.5	object	manmade	1	0.524232042953372
203.99468746595085	0.5	object	natural	1	0.5421996290097013
205.49466799595393	0.5	object	manmade	1	0.9721935740672052
206.99463950295467	0.5	object	manmade	1	0.6482565210899338
223.49442754499614	0.5	face	female	1	0.5774050899781287
224.9944052499486	0.5	face	male	1	0.638502104091458
226.496955464012	0.5	face	female	1	0.7699550399556756
227.99435571103822	0.5	face	female	1	0.7215536190196872
229.49434446403757	0.5	face	female	1	0.784560316009447
230.99431813904084	0.5	face	female	1	0.553589973016642
232.49431101500522	0.5	face	male	1	0.6556015709647909
233.99427628901321	0.5	face	male	1	0.7596360909519717
235.4942580689676	0.5	face	male	1	0.5186525289900601
236.99423528299667	0.5	face	male	1	0.4896782919531688
253.4940153020434	0.5	object	natural	1	0.5559077649377286
254.99399187695235	0.5	object	manmade	1	0.7969249869929627
256.49511377105955	0.5	object	natural	1	0.7287351118866354
257.9939539670013	0.5	object	natural	1	0.7739596159663051
259.4939445219934	0.5	object	natural	1	0.5559682269813493
260.9939206329873	0.5	object	manmade	1	0.6559940660372376
262.4939073639689	0.5	object	manmade	1	0.7920073720160872
263.99387833999936	0.5	object	natural	1	0.6929584620520473
265.49386584199965	0.5	object	manmade	1	0.8140479079447687
266.99383331404533	0.5	object	manmade	1	0.6010828929720446
283.49361183703877	0.5	face	male	1	0.55230630596634
284.9935898249969	0.5	face	male	1	0.5473228699993342
286.49357046501245	0.5	face	female	1	0.43334641901310533
287.9935524460161	0.5	face	female	1	0.5593688730150461
289.49354410602245	0.5	face	male	1	0.6943541179643944
290.9935115890112	0.5	face	female	1	0.4864069559844211
292.4935008100001	0.5	face	female	1	0.5704242009669542
293.99347196903545	0.5	face	male	1	0.6164457489503548
295.4934620630229	0.5	face	male	1	0.5554514050018042
296.993432427058	0.5	face	female	1	0.5744883099105209
313.49321638897527	0.5	object	natural	1	0.8016992930788547
314.9931868329877	0.5	object	manmade	1	0.49572950205765665
316.49318596196827	0.5	object	natural	1	0.6147335920250043
317.99314670299646	0.5	object	manmade	1	0.7187640150077641
319.49313065304887	0.5	object	manmade	1	0.6327114129671827
320.99311648204457	0.5	object	manmade	1	0.5858011069940403
322.49309829995036	0.5	object	manmade	1	0.5868237770628184
323.993073250982	0.5	object	natural	1	0.48684540297836065
325.49305653199553	0.5	object	natural	1	0.791869763052091
326.9930290400516	0.5	object	natural	1	0.9278880789643154
343.4928067229921	0.5	scene	outdoor	1	0.8561059919884428
344.9927926079836	0.5	scene	outdoor	1	0.5730643690330908
346.49276857695077	0.5	scene	outdoor	1	0.47615526407025754
347.99274711695034	0.5	scene	indoor	1	0.7661770940758288
349.492726500961	0.5	scene	outdoor	1	0.6781921040965244
350.992711495026	0.5	scene	outdoor	n/a	n/a
352.49269843799993	0.5	scene	indoor	1	0.5982532260240987
353.99266473704483	0.5	scene	indoor	1	0.6232611729064956
355.4926542820176	0.5	scene	indoor	1	0.4972674979362637
356.99263719294686	0.5	scene	indoor	1	0.5382131050573662
373.4924138659844	0.5	scene	indoor	1	0.5375131879700348
374.99238310800865	0.5	scene	indoor	n/a	n/a
376.4923818480456	0.5	scene	indoor	1	0.575546728912741
377.99235343094915	0.5	scene	outdoor	1	0.5915708200773224
379.49232443701476	0.5	scene	indoor	1	0.7546086659422144
380.99230326502584	0.5	scene	outdoor	1	0.5926241079578176
382.4922842460219	0.5	scene	outdoor	1	0.7916450939374045
383.9922711290419	0.5	scene	outdoor	1	0.8766570069128647
385.4922442199895	0.5	scene	indoor	1	0.8316818240564317
386.99223413097207	0.5	scene	outdoor	1	0.8726972340373322
403.4920118219452	0.5	face	female	1	0.6019173230743036
404.99197932705283	0.5	face	male	1	0.8109548329375684
406.491960276966	0.5	face	male	1	0.5409665530314669
407.99194605997764	0.5	face	male	n/a	n/a
409.49191904603504	0.5	face	male	n/a	n/a
410.9919083280256	0.5	face	male	1	0.5830228369450197
412.4918914870359	0.5	face	female	1	0.4730649139964953
413.9918595480267	0.5	face	female	1	0.6020765909925103
415.4918415819993	0.5	face	female	1	0.5450922379968688
416.9918318010168	0.5	face	female	1	0.4780958369374275
433.4916247220244	0.5	scene	indoor	1	0.537309902952984
434.9915776429698	0.5	scene	outdoor	1	0.39535316708497703
436.4915763409808	0.5	scene	indoor	1	0.4333616540534422
437.99154421896674	0.5	scene	outdoor	1	0.5833878620760515
439.4915150719462	0.5	scene	outdoor	1	0.8624234840972349
440.9914937369758	0.5	scene	indoor	1	0.7374411490745842
442.4914752349723	0.5	scene	outdoor	1	0.5864696970675141
443.9914570279652	0.5	scene	indoor	1	0.6094763320870697
445.49144171294756	0.5	scene	outdoor	1	0.542494407040067
446.9914154809667	0.5	scene	indoor	1	0.5534346690401435
