onset	duration	trial_type	condition	repetition	pairmate	pairID	category	subcategory	response_accuracy	response_time
13.502917581994552	1	prelearning	nonviolation	1	B	85	scene	outdoor	1	0.6057724160491489
16.50287850899622	1	prelearning	nonviolation	1	B	88	scene	indoor	1	0.6318072150461376
19.50283793901326	1	prelearning	nonviolation	1	A	86	scene	outdoor	1	0.44784671801608056
22.50278535700636	1	prelearning	violation	1	B	40	scene	indoor	1	0.5209018980385736
25.50276870001107	1	prelearning	nonviolation	1	B	84	scene	indoor	1	0.6029178100288846
28.50271928403527	1	prelearning	violation	1	B	37	scene	outdoor	1	0.4889687249669805
31.50266385701252	1	prelearning	nonviolation	1	B	81	scene	indoor	1	0.507026584004052
34.50262205203762	1	prelearning	violation	1	B	35	scene	indoor	1	0.5910636329790577
37.50258922704961	1	prelearning	nonviolation	1	A	85	scene	outdoor	1	0.5461002059746534
40.50254936999409	1	prelearning	nonviolation	1	A	87	scene	indoor	1	0.5501359130139463
43.50252819404705	1	prelearning	violation	1	A	33	scene	outdoor	1	0.5101609319681302
46.50247798505006	1	prelearning	nonviolation	1	B	86	scene	outdoor	1	0.5992161119938828
49.5024277420016	1	prelearning	violation	1	B	34	scene	outdoor	1	0.4932623420027085
52.502376095042564	1	prelearning	violation	1	B	33	scene	outdoor	1	0.4643105629947968
55.502338819031145	1	prelearning	nonviolation	1	B	87	scene	outdoor	1	0.5493500260054134
58.502296841004856	1	prelearning	nonviolation	1	A	82	scene	indoor	1	0.8453951590345241
61.5022705400479	1	prelearning	nonviolation	1	A	83	scene	indoor	1	0.5374211139860563
64.5022150130244	1	prelearning	nonviolation	1	A	81	scene	outdoor	1	0.5854812309844419
67.50217334303306	1	prelearning	nonviolation	1	B	83	scene	outdoor	1	0.5595195969799533
70.50213641300796	1	prelearning	violation	1	A	39	scene	indoor	1	0.6505552820162848
73.50210943300044	1	prelearning	nonviolation	1	A	84	scene	indoor	1	0.6195804020389915
76.50205242203083	1	prelearning	violation	1	A	38	scene	outdoor	1	0.579642546013929
79.50202025903855	1	prelearning	nonviolation	1	A	88	scene	outdoor	1	0.6026713859755546
82.50198725803057	1	prelearning	nonviolation	1	B	82	scene	indoor	1	0.7397038759663701
85.50194299500436	1	prelearning	violation	1	B	39	scene	outdoor	1	0.6237549360375851
88.50188894901657	1	prelearning	violation	1	A	34	scene	outdoor	1	0.6778055119793862
91.50184844702015	1	prelearning	violation	1	B	38	scene	indoor	1	0.7438464399892837
94.5018064820324	1	prelearning	violation	1	B	36	scene	indoor	1	0.7208983409800567
97.50176427600672	1	prelearning	violation	1	A	35	scene	outdoor	1	0.5799336340278387
100.50172518001636	1	prelearning	violation	1	A	40	scene	indoor	1	0.4889728359994479
103.50169173104223	1	prelearning	violation	1	A	37	scene	indoor	1	0.5780146569595672
106.50164799200138	1	prelearning	violation	1	A	36	scene	indoor	1	0.5420522610074839
109.50160345999755	1	learning	violation	2	A	33	scene	outdoor	1	0.5410953360260464
112.50156364199938	1	learning	violation	2	B	33	scene	outdoor	1	0.734137712046504
115.50152025802528	1	learning	violation	2	A	34	scene	outdoor	1	0.5781776310177521
118.50147996703163	1	learning	violation	2	B	34	scene	outdoor	1	0.6232211329624988
121.5014365960378	1	learning	nonviolation	2	A	81	scene	outdoor	1	0.5722600179724395
124.50139725202463	1	learning	nonviolation	2	B	81	scene	indoor	1	0.6063007629709318
127.50136860000202	1	learning	nonviolation	2	A	82	scene	indoor	1	0.5803346000029705
130.5013224070426	1	learning	nonviolation	2	B	82	scene	indoor	1	0.5433815909782425
133.5012723110267	1	learning	violation	2	A	35	scene	outdoor	1	0.6794019949738868
136.5012323660194	1	learning	violation	2	B	35	scene	indoor	1	0.5493956769932993
139.50118979101535	1	learning	violation	2	A	36	scene	indoor	1	0.52851966698654
142.50115023500985	1	learning	violation	2	B	36	scene	indoor	1	0.6665561540285125
145.50111120403744	1	learning	violation	2	A	37	scene	indoor	1	0.6035892969812267
148.50106907601003	1	learning	violation	2	B	37	scene	outdoor	1	0.6056328450213186
151.50102566403802	1	learning	nonviolation	2	A	83	scene	indoor	1	0.5866761819925159
154.50098689901643	1	learning	nonviolation	2	B	83	scene	outdoor	1	0.6287267070147209
157.50095143000362	1	learning	violation	2	A	38	scene	outdoor	1	0.6137550610001199
160.50090420700144	1	learning	violation	2	B	38	scene	indoor	1	0.5508008780307136
163.50086291099433	1	learning	violation	2	A	39	scene	indoor	1	0.5968417600379325
166.50082586501958	1	learning	violation	2	B	39	scene	outdoor	1	0.5938762209843844
169.50077948102262	1	learning	nonviolation	2	A	84	scene	indoor	1	0.6109259609947912
172.50073706504193	1	learning	nonviolation	2	B	84	scene	indoor	1	0.5048885869910009
175.5007077860064	1	learning	violation	3	A	38	scene	outdoor	1	0.6069949429947883
178.50066368305127	1	learning	violation	3	B	38	scene	indoor	1	0.5620417989557609
181.50061508803628	1	learning	violation	3	A	34	scene	outdoor	1	0.5760902739712037
184.50057784002274	1	learning	violation	3	B	34	scene	outdoor	1	0.5300816289964132
187.50053407502128	1	learning	nonviolation	3	A	83	scene	indoor	1	0.5331700230017304
190.50050082203236	1	learning	nonviolation	3	B	83	scene	outdoor	1	0.5492103470023721
193.5004503270029	1	learning	violation	4	A	38	scene	outdoor	1	0.6192570159910247
196.50040447700303	1	learning	violation	4	B	38	scene	indoor	1	0.5463112550205551
199.5003663520329	1	learning	violation	3	A	37	scene	indoor	1	0.5863503650180064
202.50032503501282	1	learning	violation	3	B	37	scene	outdoor	1	0.6003863030346109
205.50028441101315	1	learning	nonviolation	3	A	81	scene	outdoor	1	0.5104273670003749
208.50025176099732	1	learning	nonviolation	3	B	81	scene	indoor	1	0.6084578430163674
211.50021060503784	1	learning	violation	3	A	35	scene	outdoor	1	0.6195023600012064
214.50016891100682	1	learning	violation	3	B	35	scene	indoor	1	0.6355491399881429
217.50011859700317	1	learning	nonviolation	4	A	83	scene	indoor	1	0.491595680010505
220.50007662700955	1	learning	nonviolation	4	B	83	scene	outdoor	1	0.5676319990307093
223.50003494502744	1	violation	violation	5	A	38	scene	outdoor	1	0.6286805790150538
226.49999507900796	1	violation	violation	1	X	38	face	female	1	0.7337190849939361
229.49995436205063	1	learning	violation	3	A	33	scene	outdoor	1	0.6367554029566236
232.4999084920273	1	learning	violation	3	B	33	scene	outdoor	1	0.5618052440113388
235.49986790004183	1	learning	violation	4	A	37	scene	indoor	1	0.6058429959812202
238.49982783501042	1	learning	violation	4	B	37	scene	outdoor	1	0.5788886300288141
241.49979734304358	1	learning	nonviolation	3	A	82	scene	indoor	1	0.5719206009525806
244.4997529510292	1	learning	nonviolation	3	B	82	scene	indoor	1	0.5449617690173909
247.4997102720081	1	learning	violation	3	A	39	scene	indoor	1	0.4890003140317276
250.49966197804318	1	learning	violation	3	B	39	scene	outdoor	1	0.5120515049784444
253.49961975199403	1	learning	violation	3	A	36	scene	indoor	1	0.5700988600146957
256.49957931804244	1	learning	violation	3	B	36	scene	indoor	1	0.6591396149597131
259.49953932804056	1	learning	violation	2	A	40	scene	indoor	1	0.5311841279617511
262.4995027560508	1	learning	violation	2	B	40	scene	indoor	1	0.5311643319437279
265.4994534120196	1	learning	nonviolation	4	A	82	scene	indoor	1	0.4372681829845533
268.4994199910434	1	learning	nonviolation	4	B	82	scene	indoor	1	0.5983009419869632
271.49937045399565	1	learning	nonviolation	3	A	84	scene	indoor	1	0.6233504120027646
274.49932984902995	1	learning	nonviolation	3	B	84	scene	indoor	1	0.4753864689846523
277.4992913730093	1	learning	violation	4	A	39	scene	indoor	1	0.4774261310230941
280.49924783804454	1	learning	violation	4	B	39	scene	outdoor	1	0.6123899109661579
283.49920371500775	1	restudy	violation	5	B	38	scene	indoor	1	0.5675157210207544
286.49916390300496	1	learning	violation	4	A	34	scene	outdoor	1	0.5445554330362938
289.49912148399744	1	learning	violation	4	B	34	scene	outdoor	1	0.5806064950302243
292.4990810500458	1	learning	violation	4	A	33	scene	outdoor	1	0.5866452159825712
295.49904066103045	1	learning	violation	4	B	33	scene	outdoor	1	0.5496634439914487
298.49900679802516	1	learning	nonviolation	4	A	81	scene	outdoor	1	0.4907167819910683
301.49896419403376	1	learning	nonviolation	4	B	81	scene	indoor	1	0.5527499379822984
304.4989132910268	1	learning	violation	4	A	35	scene	outdoor	1	0.5928121629985981
307.49887609004514	1	learning	violation	4	B	35	scene	indoor	1	0.5118476409697905
310.49883906502515	1	restudy	nonviolation	5	B	83	scene	outdoor	1	0.5658928379998542
